at_pct,count,scaled_to_sample_ct
58.57,1976,5476
55.71,2884,7992
50.0,4589,12717
48.57,4427,12268
45.71,3168,8779
54.29,3401,9425
62.86,1041,2885
52.86,3892,10785
51.43,4398,12187
44.29,2439,6759
68.57,467,1294
42.86,1794,4971
61.43,1279,3544
71.43,338,937
65.71,711,1970
47.14,3999,11082
81.43,34,94
57.14,2278,6313
41.43,1163,3223
60.0,1615,4475
72.86,268,743
40.0,651,1804
75.71,163,452
64.29,868,2405
70.0,409,1133
67.14,547,1516
38.57,323,895
37.14,182,504
77.14,117,324
80.0,47,130
78.57,81,224
74.29,250,693
35.71,84,233
30.0,3,8
34.29,40,111
85.71,3,8
31.43,9,25
84.29,14,39
32.86,25,69
87.14,3,8
82.86,18,50
28.57,1,3
88.57,1,3
