at_pct,count,scaled_to_sample_ct
58.57,1976,1416
55.71,2884,2066
50.0,4589,3288
48.57,4427,3172
45.71,3168,2270
54.29,3401,2437
62.86,1041,746
52.86,3892,2789
51.43,4398,3151
44.29,2439,1747
68.57,467,335
42.86,1794,1285
61.43,1279,916
71.43,338,242
65.71,711,509
47.14,3999,2865
81.43,34,24
57.14,2278,1632
41.43,1163,833
60.0,1615,1157
72.86,268,192
40.0,651,466
75.71,163,117
64.29,868,622
70.0,409,293
67.14,547,392
38.57,323,231
37.14,182,130
77.14,117,84
80.0,47,34
78.57,81,58
74.29,250,179
35.71,84,60
30.0,3,2
34.29,40,29
85.71,3,2
31.43,9,6
84.29,14,10
32.86,25,18
87.14,3,2
82.86,18,13
28.57,1,1
88.57,1,1
