at_pct,count,scaled_to_sample_ct
58.57,1976,3961
55.71,2884,5781
50.0,4589,9198
48.57,4427,8873
45.71,3168,6350
54.29,3401,6817
62.86,1041,2087
52.86,3892,7801
51.43,4398,8815
44.29,2439,4889
68.57,467,936
42.86,1794,3596
61.43,1279,2564
71.43,338,677
65.71,711,1425
47.14,3999,8015
81.43,34,68
57.14,2278,4566
41.43,1163,2331
60.0,1615,3237
72.86,268,537
40.0,651,1305
75.71,163,327
64.29,868,1740
70.0,409,820
67.14,547,1096
38.57,323,647
37.14,182,365
77.14,117,235
80.0,47,94
78.57,81,162
74.29,250,501
35.71,84,168
30.0,3,6
34.29,40,80
85.71,3,6
31.43,9,18
84.29,14,28
32.86,25,50
87.14,3,6
82.86,18,36
28.57,1,2
88.57,1,2
