at_pct,count,scaled_to_sample_ct
58.57,1976,1936
55.71,2884,2826
50.0,4589,4496
48.57,4427,4337
45.71,3168,3104
54.29,3401,3332
62.86,1041,1020
52.86,3892,3813
51.43,4398,4309
44.29,2439,2390
68.57,467,458
42.86,1794,1758
61.43,1279,1253
71.43,338,331
65.71,711,697
47.14,3999,3918
81.43,34,33
57.14,2278,2232
41.43,1163,1139
60.0,1615,1582
72.86,268,263
40.0,651,638
75.71,163,160
64.29,868,850
70.0,409,401
67.14,547,536
38.57,323,316
37.14,182,178
77.14,117,115
80.0,47,46
78.57,81,79
74.29,250,245
35.71,84,82
30.0,3,3
34.29,40,39
85.71,3,3
31.43,9,9
84.29,14,14
32.86,25,24
87.14,3,3
82.86,18,18
28.57,1,1
88.57,1,1
