at_pct,count,scaled_to_sample_ct
58.57,1976,1024
55.71,2884,1494
50.0,4589,2378
48.57,4427,2294
45.71,3168,1642
54.29,3401,1762
62.86,1041,539
52.86,3892,2017
51.43,4398,2279
44.29,2439,1264
68.57,467,242
42.86,1794,930
61.43,1279,663
71.43,338,175
65.71,711,368
47.14,3999,2072
81.43,34,18
57.14,2278,1180
41.43,1163,603
60.0,1615,837
72.86,268,139
40.0,651,337
75.71,163,84
64.29,868,450
70.0,409,212
67.14,547,283
38.57,323,167
37.14,182,94
77.14,117,61
80.0,47,24
78.57,81,42
74.29,250,130
35.71,84,44
30.0,3,2
34.29,40,21
85.71,3,2
31.43,9,5
84.29,14,7
32.86,25,13
87.14,3,2
82.86,18,9
28.57,1,1
88.57,1,1
