at_pct,count,scaled_to_sample_ct
58.57,1976,2331
55.71,2884,3402
50.0,4589,5412
48.57,4427,5221
45.71,3168,3736
54.29,3401,4011
62.86,1041,1228
52.86,3892,4590
51.43,4398,5187
44.29,2439,2877
68.57,467,551
42.86,1794,2116
61.43,1279,1509
71.43,338,399
65.71,711,839
47.14,3999,4717
81.43,34,40
57.14,2278,2687
41.43,1163,1372
60.0,1615,1905
72.86,268,316
40.0,651,768
75.71,163,192
64.29,868,1024
70.0,409,482
67.14,547,645
38.57,323,381
37.14,182,215
77.14,117,138
80.0,47,55
78.57,81,96
74.29,250,295
35.71,84,99
30.0,3,4
34.29,40,47
85.71,3,4
31.43,9,11
84.29,14,17
32.86,25,29
87.14,3,4
82.86,18,21
28.57,1,1
88.57,1,1
