at_pct,count,scaled_to_sample_ct
58.57,1976,12138
55.71,2884,17716
50.0,4589,28190
48.57,4427,27195
45.71,3168,19461
54.29,3401,20892
62.86,1041,6395
52.86,3892,23908
51.43,4398,27017
44.29,2439,14983
68.57,467,2869
42.86,1794,11020
61.43,1279,7857
71.43,338,2076
65.71,711,4368
47.14,3999,24566
81.43,34,209
57.14,2278,13994
41.43,1163,7144
60.0,1615,9921
72.86,268,1646
40.0,651,3999
75.71,163,1001
64.29,868,5332
70.0,409,2512
67.14,547,3360
38.57,323,1984
37.14,182,1118
77.14,117,719
80.0,47,289
78.57,81,498
74.29,250,1536
35.71,84,516
30.0,3,18
34.29,40,246
85.71,3,18
31.43,9,55
84.29,14,86
32.86,25,154
87.14,3,18
82.86,18,111
28.57,1,6
88.57,1,6
