at_pct,count,scaled_to_sample_ct
44.29,2524,2309
55.71,2998,2743
48.57,4476,4095
45.71,3285,3005
50.0,4478,4097
54.29,3438,3145
52.86,4077,3730
58.57,1956,1789
57.14,2386,2183
72.86,282,258
61.43,1181,1080
51.43,4340,3970
47.14,3798,3475
41.43,1063,972
64.29,813,744
40.0,685,627
65.71,689,630
60.0,1628,1489
42.86,1732,1585
71.43,365,334
68.57,475,435
62.86,1009,923
74.29,201,184
67.14,545,499
35.71,91,83
78.57,81,74
70.0,427,391
77.14,108,99
38.57,353,323
32.86,19,17
34.29,41,38
37.14,174,159
85.71,7,6
75.71,150,137
82.86,17,16
31.43,10,9
80.0,41,38
30.0,2,2
84.29,13,12
81.43,37,34
28.57,1,1
27.14,1,1
90.0,1,1
87.14,1,1
88.57,1,1
