at_pct,count,scaled_to_sample_ct
58.57,1976,1662
55.71,2884,2426
50.0,4589,3860
48.57,4427,3724
45.71,3168,2665
54.29,3401,2861
62.86,1041,876
52.86,3892,3274
51.43,4398,3700
44.29,2439,2052
68.57,467,393
42.86,1794,1509
61.43,1279,1076
71.43,338,284
65.71,711,598
47.14,3999,3364
81.43,34,29
57.14,2278,1916
41.43,1163,978
60.0,1615,1359
72.86,268,225
40.0,651,548
75.71,163,137
64.29,868,730
70.0,409,344
67.14,547,460
38.57,323,272
37.14,182,153
77.14,117,98
80.0,47,40
78.57,81,68
74.29,250,210
35.71,84,71
30.0,3,3
34.29,40,34
85.71,3,3
31.43,9,8
84.29,14,12
32.86,25,21
87.14,3,3
82.86,18,15
28.57,1,1
88.57,1,1
