at_pct,count,scaled_to_sample_ct
58.57,1976,1044
55.71,2884,1524
50.0,4589,2424
48.57,4427,2339
45.71,3168,1674
54.29,3401,1797
62.86,1041,550
52.86,3892,2056
51.43,4398,2323
44.29,2439,1288
68.57,467,247
42.86,1794,948
61.43,1279,676
71.43,338,179
65.71,711,376
47.14,3999,2113
81.43,34,18
57.14,2278,1203
41.43,1163,614
60.0,1615,853
72.86,268,142
40.0,651,344
75.71,163,86
64.29,868,459
70.0,409,216
67.14,547,289
38.57,323,171
37.14,182,96
77.14,117,62
80.0,47,25
78.57,81,43
74.29,250,132
35.71,84,44
30.0,3,2
34.29,40,21
85.71,3,2
31.43,9,5
84.29,14,7
32.86,25,13
87.14,3,2
82.86,18,10
28.57,1,1
88.57,1,1
