at_pct,count,scaled_to_sample_ct
58.57,1976,11730
55.71,2884,17121
50.0,4589,27242
48.57,4427,26281
45.71,3168,18807
54.29,3401,20190
62.86,1041,6180
52.86,3892,23105
51.43,4398,26109
44.29,2439,14479
68.57,467,2772
42.86,1794,10650
61.43,1279,7593
71.43,338,2007
65.71,711,4221
47.14,3999,23740
81.43,34,202
57.14,2278,13523
41.43,1163,6904
60.0,1615,9587
72.86,268,1591
40.0,651,3865
75.71,163,968
64.29,868,5153
70.0,409,2428
67.14,547,3247
38.57,323,1917
37.14,182,1080
77.14,117,695
80.0,47,279
78.57,81,481
74.29,250,1484
35.71,84,499
30.0,3,18
34.29,40,237
85.71,3,18
31.43,9,53
84.29,14,83
32.86,25,148
87.14,3,18
82.86,18,107
28.57,1,6
88.57,1,6
